CD_CIN Number,BS_Long-Term Borrowings,BS_Year End
L37060MH1984PLC055433,1752135000,201603
L37060MH1984PLC055433,1514746000,201503
L37060MH1984PLC055433,766420000,201403
L37060MH1984PLC055433,807046000,201303
L37060MH1984PLC055433,669237804,201203
L37060MH1984PLC055433,743415243,201103
L24110GJ1984PLC007301,5956000000,201703
L24110GJ1984PLC007301,5251800000,201603
L24110GJ1984PLC007301,4189200000,201503
L24110GJ1984PLC007301,2550281000,201403
L24110GJ1984PLC007301,1167407000,201303
L24110GJ1984PLC007301,1028714000,201203
L24110GJ1984PLC007301,1360504000,201103
L05005AP1992PLC013697,0,201703
L05005AP1992PLC013697,0,201603
L05005AP1992PLC013697,0,201503
L05005AP1992PLC013697,0,201403
L05005AP1992PLC013697,0,201303
L05005AP1992PLC013697,0,201203
L05005AP1992PLC013697,0,201103
L17110GJ1988PLC010504,419870000,201703
L17110GJ1988PLC010504,456325000,201603
L17110GJ1988PLC010504,597330000,201503
L17110GJ1988PLC010504,1063871000,201403
L17110GJ1988PLC010504,1251217000,201303
L17110GJ1988PLC010504,1016062000,201203
L17110GJ1988PLC010504,823841000,201103
U29290MH1987PLC045499,2722000,201703
U29290MH1987PLC045499,4617712,201603
U29290MH1987PLC045499,11976763,201503
U29290MH1987PLC045499,26811306,201403
U29290MH1987PLC045499,31529669,201303
U29290MH1987PLC045499,966142,201203
U29290MH1987PLC045499,0,201103
L15142HR1987PLC049459,0,201703
L15142HR1987PLC049459,0,201603
L15142HR1987PLC049459,0,201503
L15142HR1987PLC049459,0,201403
L15142HR1987PLC049459,0,201303
L15142HR1987PLC049459,0,201203
L15142HR1987PLC049459,0,201103
L51100GJ1984PLC024704,0,201703
L51100GJ1984PLC024704,0,201603
L51100GJ1984PLC024704,0,201503
L51100GJ1984PLC024704,0,201403
L51100GJ1984PLC024704,0,201303
L51100GJ1984PLC024704,0,201203
L51100GJ1984PLC024704,0,201103
L01122DL1984PLC018307,9489800,201703
L01122DL1984PLC018307,0,201603
L01122DL1984PLC018307,0,201503
L01122DL1984PLC018307,0,201403
L01122DL1984PLC018307,0,201303
L01122DL1984PLC018307,0,201203
L01122DL1984PLC018307,0,201103
L30007MH1983PLC030982,1822092,201703
L30007MH1983PLC030982,1751182,201603
L30007MH1983PLC030982,1679182,201503
L30007MH1983PLC030982,1529800,201403
L30007MH1983PLC030982,725000,201303
L30007MH1983PLC030982,435000,201203
L30007MH1983PLC030982,435000,201103
L01119TN1986PLC013473,3326460000,201703
L01119TN1986PLC013473,4485430000,201603
L01119TN1986PLC013473,5514120000,201503
L01119TN1986PLC013473,6047280000,201403
L01119TN1986PLC013473,10310610000,201303
L01119TN1986PLC013473,19086270000,201203
L01119TN1986PLC013473,19973400000,201103
L74900MH1985PLC035243,0,201703
L74900MH1985PLC035243,0,201603
L74900MH1985PLC035243,0,201503
L74900MH1985PLC035243,0,201403
L74900MH1985PLC035243,0,201303
L74900MH1985PLC035243,0,201203
L74900MH1985PLC035243,0,201103
L32202KA1949PLC032923,6000000000,201612
L32202KA1949PLC032923,6000000000,201512
L32202KA1949PLC032923,0,201412
L32202KA1949PLC032923,0,201312
L32202KA1949PLC032923,0,201212
L32202KA1949PLC032923,0,201112
L24239MH1944PLC007330,0,201703
L24239MH1944PLC007330,0,201603
L24239MH1944PLC007330,0,201503
L24239MH1944PLC007330,0,201403
L24239MH1944PLC007330,0,201212
L24239MH1944PLC007330,0,201112
L29130MH1961PLC012028,65286000,201703
L29130MH1961PLC012028,257641000,201603
L29130MH1961PLC012028,381008000,201503
L29130MH1961PLC012028,368662000,201403
L29130MH1961PLC012028,261339000,201303
L29130MH1961PLC012028,151283000,201203
L29130MH1961PLC012028,140753000,201103
L27100MH1980PLC022118,0,201703
L27100MH1980PLC022118,0,201603
L27100MH1980PLC022118,183726,201503
L27100MH1980PLC022118,232409,201403
L27100MH1980PLC022118,0,201303
L27100MH1980PLC022118,0,201203
L27100MH1980PLC022118,0,201103
L60231AS1972PLC001393,115616071,201703
L60231AS1972PLC001393,151879176,201603
L60231AS1972PLC001393,150486296,201503
L60231AS1972PLC001393,109771142,201403
L60231AS1972PLC001393,193819641,201303
L60231AS1972PLC001393,273582095,201203
L60231AS1972PLC001393,264979279,201103
L65921TN1988PLC016275,109766964,201703
L65921TN1988PLC016275,107266964,201603
L65921TN1988PLC016275,103416964,201503
L65921TN1988PLC016275,99116964,201403
L65921TN1988PLC016275,95616964,201303
L65921TN1988PLC016275,94116964,201203
L65921TN1988PLC016275,0,201103
L51909DL1982PLC241785,0,201703
L51909DL1982PLC241785,0,201603
L51909DL1982PLC241785,0,201503
L51909DL1982PLC241785,18250,201403
L51909DL1982PLC241785,18250,201303
L51909DL1982PLC241785,0,201203
L51909DL1982PLC241785,0,201103
L65990MH1994PLC083603,0,201703
L65990MH1994PLC083603,0,201603
